Instacart Product,Matched Product,Similarity Score
pabst,pasta,80.0
red beans,green beans,80.0
avocado honey,avocadohoney,96.0
mixed vegetables,vegetables mix,93.33333333333333
dark chocolate,extra dark chocolate,82.35294117647058
best whole wheat flour,whole weat flour,84.21052631578947
decaf mint green tea,mint green tea,82.35294117647058
mini candy bars,candy bars,80.0
blueberries,blueberries,100.0
goat cheese,grated cheese,83.33333333333334
olive oil,olive oil,100.0
cauliflower head,cauliflower,81.4814814814815
pepperoni,pepper,80.0
93 ground beef,ground beef,88.0
chocolate bar,chocolate,81.81818181818181
peppermint oreo,herb  peppermint,80.0
vegetable recipe mix,vegetables mixescalope,80.95238095238095
candy bar,candy bars,94.73684210526316
chocolate hempmilk,chocolatemilk,83.87096774193549
chocolate soy milk,chocolatemilk,83.87096774193549
honey yoghurt,yogurt cakehoney,82.75862068965517
string cheese,strong cheese,92.3076923076923
matcha green tea,mint green tea,80.0
mixed sea vegetables,vegetables mix,82.35294117647058
green tea iced tea,green teatea,80.0
lite mayonnaise,mayonnaise,80.0
green tea 6pk,green tea,81.81818181818181
vegetable lumpia,vegetables mix,80.0
candy bars,candy bars,100.0
magazine,magazines,94.11764705882352
cookies cocoa,chocolatecookies,82.75862068965517
almonds,almonds,100.0
sour cream light,light cream,81.4814814814815
whole wheat bread,whole wheat rice,84.84848484848484
dark chocolate sauce,extra dark chocolate,80.0
chocolate chip muffins,chocolatemuffins,84.21052631578947
blueberry,blueberries,80.0
pure sparkling water,turkeysparkling water,87.8048780487805
green beans,green beans,100.0
lemon green tea,mint green tea,82.75862068965517
2 milk,milk,80.0
lowfat cottage cheese,cottage cheese,80.0
green tea bags,eggsgreen tea,81.4814814814815
meatballs,meatballs,100.0
salsa,salad,80.0
tomatoes sauce,tomato sauce,92.3076923076923
tomato cream sauce,tomato sauce,80.0
barbecue sauce,barbecue sauce,100.0
shallot,shallot,100.0
chocolate almond bar,salmonchocolate,80.0
nonfat goat milk yogurt,nonfat milklow fat yogurt,87.5
chocolate chunk cookies,chocolatecookies,82.05128205128204
100 whole wheat spaghetti,whole wheat pastaspaghetti,82.35294117647058
milk,milk,100.0
strawberries,strawberries,100.0
milk chocolate eggs,chocolatemilk,81.25
chocolate bars,burgerschocolate,80.0
carrots,carrots,100.0
ginger dark chocolate,extra dark chocolate,82.92682926829268
thin spaghetti,spaghettimint,81.4814814814815
light cream,light cream,100.0
chocolate energy bar,energy barcakechocolate,88.37209302325581
vegetable soup mix,vegetables mix,81.25
corn,corn,100.0
chili,chili,100.0
green bean chips,green beans,81.4814814814815
chocolate soymilk,chocolatemilk,86.66666666666667
spring water,sparkling water,88.88888888888889
whole wheat bagels,whole wheat pasta,80.0
dark chocolate eggs,extra dark chocolate,82.05128205128204
sparkling water berry,sparkling water,83.33333333333334
salt,salt,100.0
dark chocolate fine extra,extra dark chocolate,88.88888888888889
cereal,cereals,92.3076923076923
carrot cake cookies,cakecarrotscookies,91.89189189189189
mild barbecue sauce,barbecue sauce,84.84848484848484
raw chocolate,chocolate,81.81818181818181
nicola sparkling water,ricesparkling water,82.92682926829268
sparkling lemon water,sparkling water,83.33333333333334
black tea,black tea,100.0
strawberries 1 lb,strawberries,82.75862068965517
vegetable oil,vegetables mix,81.4814814814815
tomato sauce,tomato sauce,100.0
dried strawberries,strawberries,80.0
gluten free flour,gluten free bar,81.25
whole wheat lasagna,whole wheat pasta,83.33333333333334
mineral water,mineral water,100.0
2 chocolate milk,chocolatemilk,89.65517241379311
daura gluten free,gluten free bar,87.5
parmesan cheese shreds,parmesan cheese,81.08108108108108
1 chocolate milk,chocolatemilk,89.65517241379311
carrot,carrots,92.3076923076923
mint chocolate chip,chocolatemint,81.25
bug spray,bug spray,100.0
bowties,brownies,80.0
peppermint herbal tea,herb  peppermint,83.33333333333334
rose wine,red wine,82.35294117647058
egg,eggs,85.71428571428572
cookies,cookies,100.0
tomato,tomatoes,85.71428571428572
yam,yams,85.71428571428572
rich dark chocolate,extra dark chocolate,82.05128205128204
peppers,pepper,92.3076923076923
chocolate malt,chocolatemilk,81.4814814814815
green tea peach,green teatea,81.4814814814815
mashed potatoes,mashed potato,92.85714285714286
creamer,cream,83.33333333333334
extra dark chocolate bar,extra dark chocolate,90.9090909090909
grated cheese parmesan,parmesan cheese,81.08108108108108
blueberry pie,blueberries,83.33333333333334
strong dark chocolate,extra dark chocolate,82.92682926829268
green lima beans,green beans,81.4814814814815
5star barbecue sauce,barbecue sauce,82.35294117647058
chocolate spreads,chocolateasparagus,80.0
spearmint water,sparkling water,80.0
1 milk,milk,80.0
light sour cream,light cream,81.4814814814815
sparkling lime water,ricesparkling water,87.17948717948718
mini pancakes,milkpancakes,80.0
green grapes,green grapes,100.0
brownies,brownies,100.0
mushroom sauce mix,mushroom cream sauce,84.21052631578947
candy bar,candy bars,94.73684210526316
chocolate lava cake,cakechocolate,81.25
classic parmesan cheese,parmesan cheesechicken,80.0
whole wheat fajita,whole wheat pasta,85.71428571428572
veggie burgers,burgerseggs,80.0
nutty dark chocolate,extra dark chocolate,80.0
eggplant,eggplant,100.0
whole wheat graham flour,whole weat flour,80.0
real mayonnaise,mayonnaise,80.0
parmesan cheese wedge,parmesan cheese,83.33333333333334
geneva cookies,cookiesgreen tea,80.0
whole strawberries,strawberries,80.0
green  white tea,green teatea,81.4814814814815
red grapes,green grapes,81.81818181818181
key lime sparkling water,turkeysparkling water,80.0
dark chocolate extra 85 cacao,extra dark chocolate,81.63265306122449
cookies milk chocolate,chocolatecookies,84.21052631578947
milk chocolate bar,chocolatemilk,83.87096774193549
energy bar,energy bar,100.0
no beans chili,chiligreen beans,80.0
parmesan cheese shaker,parmesan cheese,81.08108108108108
blueberries pint,blueberries,81.4814814814815
whole wheat pita,whole wheat pasta,90.9090909090909
tofu ground beef,ground beef,81.4814814814815
fromage blanc,fromage blanc,100.0
shallots,shallot,93.33333333333333
sparking water,sparkling water,96.55172413793103
eggs milk chocolate,chocolatemilk,81.25
chocolate stout,chocolatesoup,85.71428571428572
chocolate chip protein bar,chocolate breadhand protein bar,80.70175438596492
healthy dark chocolate,extra dark chocolate,80.95238095238095
avocado oil,avocadomilk,81.81818181818181
mint green tea,mint green tea,100.0
937 ground beef,ground beef,84.61538461538461
shrimp,shrimp,100.0
coconut cooking oil,chocolatecooking oil,82.05128205128204
green peas,green tea,84.21052631578947
chocolate butter cookies,chocolatecookies,80.0
extra strong dark chocolate,extra dark chocolate,85.1063829787234
spaghetti,spaghetti,100.0
green chile grapes,green grapes,80.0
ricotta cheese,cottage cheese,85.71428571428572
white wine,white wine,100.0
parmesan grated cheese,parmesan cheese,81.08108108108108
tomatoes,tomatoes,100.0
mini eggs,eggsmint,82.35294117647058
dr pepper,herb  pepper,80.0
creamy,cream,90.9090909090909
dha chocolate milk,chocolatemilk,83.87096774193549
lime sparkling water,ricesparkling water,87.17948717948718
water mineral,mineral water,100.0
cauliflower cool,cauliflower,81.4814814814815
chocolate moon pies,chocolatecookies,80.0
dark chocolate fudge,extra dark chocolate,80.0
butter cookies,buttercookies,96.2962962962963
chili beans,chiligreen beans,81.4814814814815
frozen strawberries,frozen smoothiestrawberries,82.6086956521739
toothpaste,toothpaste,100.0
pure chocolate cookies,chocolatecookies,84.21052631578947
mint  honey green tea,mint green tea,82.35294117647058
lemon sparkling water,sparkling water,83.33333333333334
cottage cheese,cottage cheese,100.0
gluten free fig bar,gluten free bar,88.23529411764706
rye bread,fresh bread,80.0
tomato juice,tomato juice,100.0
avocados,avocado,93.33333333333333
chocolate chip energy bar,energy barcakechocolate,83.33333333333334
cut green beans,green beans,84.61538461538461
spaghettini,spaghetti,90.0
chocolate cake mix,cakechocolate,83.87096774193549
brownie,brownies,93.33333333333333
nonfat milk,nonfat milk,100.0
chocolate cupcakes,chocolatepancakes,85.71428571428572
organic whole wheat,whole wheat rice,85.71428571428572
chocolate,chocolate,100.0
diced tomato,tomato juice,83.33333333333334
strawberries whole,strawberries,80.0
smart sandwich,sandwichsalt,84.61538461538461
whole wheat matzos,whole wheat pasta,80.0
cauliflower rice,cauliflower,81.4814814814815
water sparkling,sparkling water,100.0
gluten free fig bars,gluten free bar,85.71428571428572
red salmon,red winesalmon,83.33333333333334
chocolate chip cookies,chickenchocolatecookies,84.44444444444444
chocolate eclair,chocolatechili,80.0
cheese grater,grated cheese,92.3076923076923
green tea with mint,mint green tea,84.84848484848484
milk chocolate coins,chocolatecooking oil,80.0
energy drink,energy drink,100.0
french bread,fresh bread,86.95652173913044
honey barbecue sauce,barbecue sauce,82.35294117647058
low fat banana yogurt,low fat yogurt,80.0
chocolate milk,chocolatemilk,96.2962962962963
chocolate syrup,chocolatesoup,85.71428571428572
cottage cheese 22 oz,cottage cheese,82.35294117647058
ham,ham,100.0
peppermint water,peppermineral water,85.71428571428572
chocolate chip cookie,chickenchocolatecookies,81.81818181818181
chocolate cake,cakechocolate,96.2962962962963
chicken,chicken,100.0
sparkling mineral water,ricesparkling water,80.95238095238095
83 chocolate,chocolate,85.71428571428572
parmesan cheese crisps,shrimpparmesan cheese,83.72093023255813
chocolate cupcake,chocolatecake,86.66666666666667
tomato bisque,tomato sauce,80.0
honeycomb chocolate,chocolatehoney,84.84848484848484
honey whole wheat bread,whole wheat pastahoney,80.0
tomato basil sauce,tomato sauce,80.0
extra dark 70 chocolate bar,extra dark chocolate,85.1063829787234
cidre,cider,80.0
peppermint bark,herb  peppermint,80.0
dark chocolate thins,extra dark chocolate,80.0
mint  dark chocolate,extra dark chocolate,82.05128205128204
honey whole wheat,whole wheat pastahoney,87.17948717948718
fresh mint toothpaste,french winetoothpaste,80.95238095238095
bacon,bacon,100.0
milk chocolate mms,chocolatemilk,83.87096774193549
berry sparkling water,sparkling water,83.33333333333334
ketchup,ketchup,100.0
grated parmesan cheese,parmesan cheese,81.08108108108108
whole wheat,whole wheat rice,81.4814814814815
double chocolate muffins,chocolatemuffins,80.0
whole wheat crackers,whole wheat rice,83.33333333333334
whole wheat spaghetti,whole wheat pastaspaghetti,89.36170212765957
chicken legs,chickeneggs,86.95652173913044
chocolates,chocolate,94.73684210526316
ice,rice,85.71428571428572
asparagus,asparagus,100.0
lite energy drink,olive oilenergy drink,84.21052631578947
chocolate strong dark,extra dark chocolate,82.92682926829268
organic green tea peppermint,herb  peppermint green tea,83.01886792452831
red wine,red wine,100.0
spinach,spinach,100.0
cotija cheese,cottage cheese,81.4814814814815
whole wheat flour,whole weat flour,96.96969696969697
avocado,avocado,100.0
lasagna whole wheat,whole wheat pasta,83.33333333333334
salt toothpaste,toothpaste,80.0
parmesan cheese,parmesan cheese,100.0
nonfat dry milk,nonfat milk,84.61538461538461
ground beef,ground beef,100.0
jasmine green tea,mint green tea,83.87096774193549
orange sparkling water,ricesparkling water,82.92682926829268
honey,honey,100.0
