Items, Size, Frequency, Support, Score
Toothpaste, 1, 71072, 0.016353688082024313, 1.0
Organic Red Onion, 1, 70804, 0.016292021203281874, 1.0
Organic Small Bunch Celery, 1, 70714, 0.01627131217683852, 1.0
Michigan Organic Kale, 1, 70076, 0.016124508189384507, 1.0
Organic Tomato Cluster, 1, 66827, 0.01537691233477936, 1.0
Organic Blackberries, 1, 64589, 0.014861947877221244, 1.0
100% Whole Wheat Bread, 1, 63114, 0.014522549943844023, 1.0
Organic Italian Parsley Bunch, 1, 63021, 0.014501150616519222, 1.0
Organic Whole String Cheese, 1, 61669, 0.014190055019281254, 1.0
Organic Granny Smith Apple, 1, 61116, 0.014062809556801522, 1.0
Raspberries, 1, 60919, 0.014017479798919956, 1.0
Organic Unsweetened Almond Milk, 1, 60071, 0.01382235474976478, 1.0
Organic Red Bell Pepper, 1, 59878, 0.013777945393058473, 1.0
Spring Water, 1, 58312, 0.01341760833294408, 1.0
Blueberries, 1, 58269, 0.013407714020310033, 1.0
Red Peppers, 1, 58185, 0.013388385595629567, 1.0
Green Bell Pepper, 1, 58005, 0.013346967542742855, 1.0
Organic Peeled Whole Baby Carrots, 1, 57831, 0.013306930091619033, 1.0
Red Vine Tomato, 1, 56643, 0.013033570942566736, 1.0
Organic Garnet Sweet Potato (Yam), 1, 54507, 0.012542076714977757, 1.0
Organic Ginger Root, 1, 54094, 0.012447045293632136, 1.0
Spinach, 1, 53449, 0.01229863060412142, 1.0
Hass Avocados, 1, 52497, 0.012079575124409476, 1.0
Boneless Skinless Chicken Breasts, 1, 52369, 0.012050122286801149, 1.0
Extra Virgin Olive Oil, 1, 52323, 0.012039537673285656, 1.0
Small Hass Avocado, 1, 52124, 0.011993747714816457, 1.0
Organic Kiwi, 1, 52021, 0.011970047384553505, 1.0
Unsweetened Almondmilk, 1, 51738, 0.011904929001403842, 1.0
Organic D'Anjou Pears, 1, 50808, 0.011690935728155832, 1.0
Water, 1, 49848, 0.011470039446093368, 1.0
Organic Reduced Fat 2% Milk, 1, 49374, 0.011360971906825027, 1.0
Cereal, 1, 48514, 0.011163085654144072, 1.0
Lime Sparkling Water, 1, 48512, 0.011162625453556441, 1.0
Bunched Cilantro, 1, 47450, 0.010918258941524843, 1.0
Grated Parmesan, 1, 46932, 0.01079906698932864, 1.0
Broccoli Crown, 1, 44976, 0.01034899081462637, 1.0
Organic Lacinato (Dinosaur) Kale, 1, 44828, 0.01031493597114174, 1.0
Sparkling Natural Mineral Water, 1, 44737, 0.01029399684440457, 1.0
Organic Navel Orange, 1, 44701, 0.010285713233827229, 1.0
Red Onion, 1, 44477, 0.010234170768012654, 1.0
Jalapeno Peppers, 1, 44460, 0.010230259063017798, 1.0
Butter, 1, 43668, 0.010048019630316266, 1.0
Uncured Genoa Salami, 1, 43261, 0.009954368810733534, 1.0
Large Alfresco Eggs, 1, 42274, 0.009727259820738065, 1.0
Roma Tomato, 1, 42165, 0.009702178888712222, 1.0
Organic Grade A Free Range Large Brown Eggs, 1, 41812, 0.009620953484995505, 1.0
Clementines, Bag, 1, 41303, 0.009503832435443636, 1.0
Orange Bell Pepper, 1, 41052, 0.009446077261696056, 1.0
Grape White/Green Seedless, 1, 40498, 0.00931860169892251, 1.0
Organic Broccoli, 1, 40373, 0.009289839162195626, 1.0
Organic Black Beans, 1, 39577, 0.009106679328318835, 1.0
100% Raw Coconut Water, 1, 39271, 0.009036268638411424, 1.0
Organic Bartlett Pear, 1, 38686, 0.00890165996652961, 1.0
2% Reduced Fat Milk, 1, 38631, 0.008889004450369782, 1.0
Paper Towels, 1, 38593, 0.00888026063920481, 1.0
Garlic, 1, 38537, 0.008867375022751166, 1.0
Mayonnaise, 1, 38403, 0.008836541583379948, 1.0
Orange, 1, 37924, 0.008726323542642531, 1.0
Milk, 1, 37705, 0.008675931578297033, 1.0
Shredded Parmesan, 1, 37689, 0.008672249973595992, 1.0
Granny Smith Apples, 1, 37566, 0.008643947637456737, 1.0
Organic Carrot Bunch, 1, 37562, 0.008643027236281478, 1.0
Baby Wipes, 1, 37531, 0.008635894127173211, 1.0
Unsalted Butter, 1, 37102, 0.008537181101126548, 1.0
Whole Milk, 1, 36968, 0.008506347661755329, 1.0
Organic Reduced Fat Milk, 1, 36869, 0.008483567732667638, 1.0
Honey, 1, 36799, 0.008467460712100583, 1.0
Bread, 1, 36654, 0.008434096169497399, 1.0
Bartlett Pears, 1, 36620, 0.008426272759507686, 1.0
Coffee, 1, 36590, 0.008419369750693234, 1.0
Peanut Butter, 1, 36560, 0.008412466741878783, 1.0
Ice Cream, 1, 36546, 0.008409245337765372, 1.0
Eggs, 1, 36448, 0.008386695508971495, 1.0
Soap, 1, 36438, 0.008384394506033345, 1.0
Deodorant, 1, 36360, 0.00836644668311577, 1.0
Jam, 1, 36336, 0.008360924276064208, 1.0
Tea, 1, 36325, 0.008358393172832242, 1.0
Ketchup, 1, 36307, 0.008354251367543572, 1.0
Laundry Detergent, 1, 36291, 0.00835056976284253, 1.0
Air Freshener, 1, 36284, 0.008348959060785826, 1.0
Cleaning Rags, 1, 36279, 0.008347808559316749, 1.0
Tomatoes, 1, 36200, 0.008329630636105359, 1.0
Cleaning Spray, 1, 36185, 0.008326179131698133, 1.0
Plant Fertilizer, 1, 36171, 0.008322957727584722, 1.0
Yogurt, 1, 36165, 0.008321577125821832, 1.0
BBQ Sauce, 1, 36156, 0.008319506223177496, 1.0
Chips, 1, 36152, 0.008318585822002237, 1.0
Shampoo, 1, 36151, 0.008318355721708422, 1.0
Beef, 1, 36141, 0.00831605471877027, 1.0
Ironing Board, 1, 36140, 0.008315824618476455, 1.0
Mustard, 1, 36140, 0.008315824618476455, 1.0
Olive Oil, 1, 36130, 0.008313523615538304, 1.0
Bath Towels, 1, 36126, 0.008312603214363045, 1.0
Pasta, 1, 36107, 0.008308231308780558, 1.0
Shaving Cream, 1, 36090, 0.008304319603785701, 1.0
Sponges, 1, 36081, 0.008302248701141367, 1.0
Trash Cans, 1, 36070, 0.0082997175979094, 1.0
Extension Cords, 1, 36068, 0.00829925739732177, 1.0
Cheese, 1, 36065, 0.008298567096440326, 1.0
Light Bulbs, 1, 36064, 0.00829833699614651, 1.0
Unsweetened Original Almond Breeze Almond Milk, 1, 36048, 0.00829465539144547, 1.0
Insect Repellent, 1, 36047, 0.008294425291151654, 1.0
Potatoes, 1, 36041, 0.008293044689388764, 1.0
Garden Hose, 1, 36035, 0.008291664087625874, 1.0
Rice, 1, 36035, 0.008291664087625874, 1.0
Feminine Hygiene Products, 1, 36030, 0.008290513586156798, 1.0
Organic Romaine Lettuce, 1, 36028, 0.008290053385569167, 1.0
Lawn Mower, 1, 36012, 0.008286371780868128, 1.0
Onions, 1, 36010, 0.008285911580280497, 1.0
Pancake Mix, 1, 36007, 0.008285221279399051, 1.0
Salmon, 1, 35999, 0.00828338047704853, 1.0
Hair Gel, 1, 35993, 0.00828199987528564, 1.0
Vacuum Cleaner, 1, 35973, 0.00827739786940934, 1.0
Diapers, 1, 35970, 0.008276707568527894, 1.0
Cereal Bars, 1, 35964, 0.008275326966765004, 1.0
Tuna, 1, 35962, 0.008274866766177374, 1.0
Mop, 1, 35952, 0.008272565763239223, 1.0
Dish Soap, 1, 35950, 0.008272105562651594, 1.0
Pickles, 1, 35944, 0.008270724960888702, 1.0
Hand Sanitizer, 1, 35937, 0.008269114258831997, 1.0
Vinegar, 1, 35926, 0.008266583155600032, 1.0
Toothbrush, 1, 35916, 0.008264282152661881, 1.0
Dishware, 1, 35905, 0.008261751049429914, 1.0
Shrimp, 1, 35895, 0.008259450046491765, 1.0
Razors, 1, 35879, 0.008255768441790724, 1.0
Syrup, 1, 35843, 0.00824748483121338, 1.0
Shower Gel, 1, 35840, 0.008246794530331936, 1.0
Chicken, 1, 35825, 0.00824334302592471, 1.0
Apple, 1, 35787, 0.008234599214759736, 1.0
Broom, 1, 35777, 0.008232298211821587, 1.0
Iron, 1, 35766, 0.00822976710858962, 1.0
Power Strips, 1, 35764, 0.00822930690800199, 1.0
Tissues, 1, 35753, 0.008226775804770025, 1.0
Toilet Paper, 1, 35711, 0.008217111592429792, 1.0
Dustpan, 1, 35701, 0.008214810589491642, 1.0
Canned Soup, 1, 35645, 0.008201924973037998, 1.0
Trash Bags, 1, 35594, 0.00819018985805343, 1.0
Organic Sticks Low Moisture Part Skim Mozzarella String Cheese, 1, 35551, 0.008180295545419382, 1.0
Pure Irish Butter, 1, 35384, 0.008141868796352265, 1.0
Organic Broccoli Florets, 1, 34248, 0.007880474862578353, 1.0
Sparkling Lemon Water, 1, 34211, 0.007871961151707194, 1.0
Feta Cheese Crumbles, 1, 33800, 0.007777389930949203, 1.0
Organic Russet Potato, 1, 33708, 0.0077562207039182166, 1.0
Organic Large Brown Grade AA Cage Free Eggs, 1, 33242, 0.007648993967000396, 1.0
Organic Baby Broccoli, 1, 33143, 0.007626214037912705, 1.0
Organic Spring Mix, 1, 33130, 0.007623222734093109, 1.0
Organic Whole Strawberries, 1, 32658, 0.007514615395412399, 1.0
Whipped Cream Cheese, 1, 32270, 0.0074253364814121535, 1.0
Vanilla Almond Breeze Almond Milk, 1, 32212, 0.00741199066437088, 1.0
Clementines, 1, 32194, 0.007407848859082208, 1.0
Italian Sparkling Mineral Water, 1, 32069, 0.007379086322355325, 1.0
Sharp Cheddar Cheese, 1, 31432, 0.007232512435195128, 1.0
Organic Garbanzo Beans, 1, 31196, 0.007178208765854773, 1.0
Frozen Organic Wild Blueberries, 1, 30970, 0.007126206099452568, 1.0
Total 2% with Strawberry Lowfat Greek Strained Yogurt, 1, 30866, 0.0071022756688958015, 1.0
Russet Potato, 1, 30731, 0.007071212129230768, 1.0
Fat Free Milk, 1, 30565, 0.007033015480457467, 1.0
Organic Roma Tomato, 1, 30517, 0.007021970666354344, 1.0
Organic Extra Firm Tofu, 1, 30310, 0.006974339905534625, 1.0
Green Beans, 1, 30229, 0.006955701781735605, 1.0
Pure Sparkling Water, 1, 30009, 0.006905079717096291, 1.0
Organic Roasted Turkey Breast, 1, 29507, 0.006789569369601128, 1.0
No Salt Added Black Beans, 1, 29174, 0.0067129459717607115, 1.0
100% Recycled Paper Towels, 1, 29047, 0.0066837232344461985, 1.0
Organic Milk, 1, 28850, 0.00663839347656463, 1.0
Organic Coconut Milk, 1, 28300, 0.0065118383149663445, 1.0
Organic Red Radish, Bunch, 1, 28267, 0.006504245005270447, 1.0
Green Onions, 1, 27981, 0.006438436321239339, 1.0
Honey Nut Cheerios, 1, 27959, 0.0064333741147754074, 1.0
Organic Basil, 1, 27890, 0.006417497194502167, 1.0
Total 0% Nonfat Greek Yogurt, 1, 27871, 0.006413125288919681, 1.0
Shredded Mild Cheddar Cheese, 1, 27813, 0.006399779471878407, 1.0
Organic Sour Cream, 1, 27738, 0.006382521949842278, 1.0
Red Raspberries, 1, 27713, 0.006376769442496901, 1.0
Ground Turkey Breast, 1, 27679, 0.006368946032507189, 1.0
Unsweetened Vanilla Almond Milk, 1, 27555, 0.006340413596074121, 1.0
Organic Fat Free Milk, 1, 27402, 0.006305208251120416, 1.0
Total Greek Strained Yogurt, 1, 27394, 0.006303367448769895, 1.0
Total 0% Greek Yogurt, 1, 27200, 0.006258727991769773, 1.0
Romaine Hearts, 1, 26962, 0.006203964121841787, 1.0
Yellow Bell Pepper, 1, 26625, 0.00612642032282611, 1.0
Organic Large Grade AA Brown Eggs, 1, 26575, 0.006114915308135357, 1.0
Pineapple Chunks, 1, 26027, 0.005988820347124701, 1.0
Original Orange Juice, 1, 25972, 0.005976164830964872, 1.0
Lightly Salted Baked Snap Pea Crisps, 1, 25941, 0.005969031721856605, 1.0
Organic Heavy Whipping Cream, 1, 25530, 0.005874460501098614, 1.0
Fresh Ginger Root, 1, 25414, 0.005847768867016066, 1.0
Watermelon Chunks, 1, 25388, 0.005841786259376875, 1.0
Cantaloupe, 1, 25115, 0.005778968879165362, 1.0
Gala Apples, 1, 25045, 0.005762861858598307, 1.0
Organic Celery Hearts, 1, 24888, 0.005726736112469342, 1.0
Organic Hothouse Cucumbers, 1, 24818, 0.005710629091902287, 1.0
Organic Romaine, 1, 24794, 0.005705106684850726, 1.0
Organic White Onions, 1, 24491, 0.005635386295824761, 1.0
Organic Bell Pepper, 1, 24331, 0.005598570248814351, 1.0
Baby Spinach, 1, 24276, 0.005585914732654522, 1.0
Organic 2% Reduced Fat Milk, 1, 24175, 0.0055626746029792005, 1.0
Organic Bread with 21 Whole Grains, 1, 23944, 0.005509521435107921, 1.0
Blackberries, 1, 23941, 0.005508831134226475, 1.0
Total 2% All Natural Greek Strained Yogurt with Honey, 1, 23844, 0.005486511405726414, 1.0
Boneless Skinless Chicken Breast, 1, 23533, 0.005414950214349928, 1.0
Brussels Sprouts, 1, 23424, 0.005389869282324086, 1.0
Shredded Mozzarella, 1, 22943, 0.00527919104099904, 1.0
Organic Diced Tomatoes, 1, 22834, 0.005254110108973198, 1.0
Cherubs Heavenly Salad Tomatoes, 1, 22576, 0.0051947442331689115, 1.0
Sour Cream, 1, 22562, 0.0051915228290555, 1.0
Creamy Almond Butter, 1, 22340, 0.005140440563828556, 1.0
Organic Green Seedless Grapes, 1, 22335, 0.005139290062359481, 1.0
Large Grapefruit, 1, 22296, 0.005130316150900693, 1.0
Organic Unsalted Butter, 1, 22252, 0.00512019173797283, 1.0
Organic Spring Mix Salad, 1, 22193, 0.005106615820637741, 1.0
Organic Bosc Pear, 1, 22137, 0.005093730204184098, 1.0
Organic Green Cabbage, 1, 22137, 0.005093730204184098, 1.0
Peach Pear Flavored Sparkling Water, 1, 22132, 0.005092579702715022, 1.0
Organic Yellow Peaches, 1, 21993, 0.005060595761874728, 1.0
Uncured Hickory Smoked Sunday Bacon, 1, 21610, 0.004972467349343559, 1.0
Electrolyte Enhanced Water, 1, 21582, 0.004966024541116737, 1.0
Heavy Whipping Cream, 1, 21562, 0.004961422535240435, 1.0
Organic Raw Kombucha Gingerade, 1, 21562, 0.004961422535240435, 1.0
Total 2% Lowfat Greek Strained Yogurt With Blueberry, 1, 21405, 0.00492529678911147, 1.0
Organic Jalapeno Pepper, 1, 21112, 0.004857877403023656, 1.0
Organic Shredded Carrots, 1, 21041, 0.004841540282162786, 1.0
Creamy Peanut Butter, 1, 21024, 0.00483762857716793, 1.0
Organic Frozen Peas, 1, 20981, 0.004827734264533882, 1.0
Oven Roasted Turkey Breast, 1, 20966, 0.004824282760126656, 1.0
Organic Yams, 1, 20921, 0.0048139282469049785, 1.0
Organic Banana, 1, 20915, 0.004812547645142088, 1.0
Organic Old Fashioned Rolled Oats, 1, 20887, 0.0048061048369152665, 1.0
Milk, Organic, Vitamin D, 1, 20770, 0.004779183102538904, 1.0
Marinara Sauce, 1, 20752, 0.004775041297250232, 1.0
Unsalted Pure Irish Butter, 1, 20582, 0.004735924247301671, 1.0
Organic Butternut Squash, 1, 20562, 0.00473132224142537, 1.0
Organic Baby Rainbow Carrots, 1, 20553, 0.004729251338781035, 1.0
Total 2% Lowfat Greek Strained Yogurt with Peach, 1, 20552, 0.0047290212384872195, 1.0
Organic Mint, 1, 20487, 0.0047140647193892405, 1.0
Lemonade, 1, 20483, 0.00471314431821398, 1.0
Natural Spring Water, 1, 20468, 0.004709692813806754, 1.0
Organic Leek, 1, 20435, 0.004702099504110857, 1.0
Sweet Onion, 1, 20417, 0.004697957698822186, 1.0
YoKids Squeezers Organic Low-Fat Yogurt, Strawberry, 1, 20344, 0.004681160377373686, 1.0
Organic Egg Whites, 1, 20234, 0.004655849345054029, 1.0
Organic Thyme, 1, 20209, 0.004650096837708652, 1.0
Original No Pulp 100% Florida Orange Juice, 1, 20164, 0.004639742324486974, 1.0
Organic Large Green Asparagus, 1, 20016, 0.0046056874810023445, 1.0
Salted Butter, 1, 19971, 0.004595332967780667, 1.0
Icelandic Style Skyr Blueberry Non-fat Yogurt, 1, 19962, 0.004593262065136331, 1.0
White Corn, 1, 19400, 0.004463945700012265, 1.0
Hass Avocado, 1, 19198, 0.0044174654406616215, 1.0
Chicken & Maple Breakfast Sausage, 1, 19172, 0.004411482833022429, 1.0
Organic Broccoli Crowns, 1, 19145, 0.0044052701250894225, 1.0
Sustainably Soft Bath Tissue, 1, 19052, 0.0043838707977646215, 1.0
Organic Shredded Mozzarella, 1, 19041, 0.004381339694532656, 1.0
European Cucumber, 1, 19038, 0.004380649393651211, 1.0
Organic Mexican Blend Finely Shredded Cheese, 1, 19031, 0.004379038691594506, 1.0
Organic Baby Kale, 1, 18977, 0.004366613275728491, 1.0
Fridge Pack Cola, 1, 18914, 0.004352116957218143, 1.0
Pure Coconut Water, 1, 18912, 0.004351656756630512, 1.0
Vanilla Skyr Nonfat Yogurt, 1, 18899, 0.004348665452810917, 1.0
Sparkling Mineral Water, 1, 18847, 0.004336700237532533, 1.0
Organic Creamy Peanut Butter, 1, 18800, 0.004325885523723225, 1.0
Organic American Cheese Singles, 1, 18736, 0.0043111591049190615, 1.0
Total 2% Greek Strained Yogurt with Cherry 5.3 oz, 1, 18692, 0.004301034691991198, 1.0
Guacamole, 1, 18614, 0.004283086869073623, 1.0
Ezekiel 4:9 Bread Organic Sprouted Whole Grain, 1, 18487, 0.00425386413175911, 1.0
Mango Chunks, 1, 18445, 0.004244199919418877, 1.0
Organic Baby Spinach Salad, 1, 18382, 0.004229703600908528, 1.0
Organic Tomato Paste, 1, 18336, 0.004219118987393035, 1.0
Roasted Turkey Breast, 1, 18260, 0.00420163136506309, 1.0
Organic Low Sodium Chicken Broth, 1, 18252, 0.004199790562712569, 1.0
Organic Snipped Green Beans, 1, 18195, 0.004186674845965111, 1.0
Shallot, 1, 18179, 0.00418299324126407, 1.0
Macaroni & Cheese, 1, 18132, 0.004172178527454762, 1.0
Sparkling Water Berry, 1, 18125, 0.004170567825398056, 1.0
Reduced Fat 2% Milk, 1, 18083, 0.004160903613057824, 1.0
Globe Eggplant, 1, 17920, 0.004123397265165968, 1.0
Roasted Red Pepper Hummus, 1, 17829, 0.004102458138428797, 1.0
Organic Tomato Basil Pasta Sauce, 1, 17596, 0.004048844769969887, 1.0
Orange Juice, 1, 17568, 0.004042401961743065, 1.0
Original Veggie Straws, 1, 17534, 0.004034578551753353, 1.0
Air Chilled Organic Boneless Skinless Chicken Breasts, 1, 17462, 0.004018011330598668, 1.0
Trilogy Kombucha Drink, 1, 17435, 0.004011798622665662, 1.0
Organic Beef Hot Dogs, 1, 17360, 0.0039945411006295315, 1.0
Sea Salt Pita Chips, 1, 17333, 0.003988328392696525, 1.0
Total 2% All Natural Plain Greek Yogurt, 1, 17274, 0.003974752475361436, 1.0
Asparation/Broccolini/Baby Broccoli, 1, 17168, 0.003950361844217039, 1.0
Lemon Hummus, 1, 17061, 0.003925741112778827, 1.0
Sourdough Bread, 1, 17056, 0.0039245906113097515, 1.0
2% Reduced Fat Organic Milk, 1, 17042, 0.003921369207196341, 1.0
White Onion, 1, 17028, 0.0039181478030829294, 1.0
Non Fat Raspberry Yogurt, 1, 16953, 0.0039008902810467997, 1.0
Total 2% Lowfat Plain Greek Yogurt, 1, 16874, 0.0038827123578354097, 1.0
Organic AppleApple, 1, 16780, 0.0038610829302167934, 1.0
Distilled Water, 1, 16664, 0.003834391296134246, 1.0
Organic Dill, 1, 16585, 0.003816213372922856, 1.0
Pretzel Crisps Original Deli Style Pretzel Crackers, 1, 16584, 0.0038159832726290407, 1.0
Organic Grade A Large Brown Eggs, 1, 16577, 0.0038143725705723354, 1.0
Penne Rigate, 1, 16535, 0.003804708358232103, 1.0
Organic Unsweetened Vanilla Almond Milk, 1, 16479, 0.003791822741778459, 1.0
Spaghetti, 1, 16453, 0.0037858401341392674, 1.0
XL Emerald White Seedless Grapes, 1, 16375, 0.003767892311221692, 1.0
Basil Pesto, 1, 16337, 0.00375914850005672, 1.0
Sinfully Sweet Campari Tomatoes, 1, 16316, 0.003754316393886603, 1.0
Frozen Broccoli Florets, 1, 16145, 0.003714969243644227, 1.0
Vine Ripe Tomatoes, 1, 16075, 0.003698862223077173, 1.0
Raisin Bran Cereal, 1, 16015, 0.0036850562054482686, 1.0
Super Greens Salad, 1, 15942, 0.003668258883999769, 1.0
Mini Original Babybel Cheese, 1, 15941, 0.003668028783705954, 1.0
Organic Whole Grassmilk Milk, 1, 15939, 0.003667568583118324, 1.0
Organic Ketchup, 1, 15914, 0.003661816075772947, 1.0
Organic Turkey Bacon, 1, 15905, 0.0036597451731286115, 1.0
Strawberry Preserves, 1, 15875, 0.00365284216431416, 1.0
Whole Milk Plain Yogurt, 1, 15821, 0.003640416748448146, 1.0
Organic Red Cabbage, 1, 15645, 0.0035999190967366946, 1.0
Original Nooks & Crannies English Muffins, 1, 15642, 0.003599228795855249, 1.0
Organic Salted Butter, 1, 15621, 0.003594396689685133, 1.0
Large Yellow Flesh Nectarine, 1, 15592, 0.003587723781164496, 1.0
Grapefruit Sparkling Water, 1, 15558, 0.003579900371174784, 1.0
Corn Tortillas, 1, 15514, 0.003569775958246921, 1.0
Organic Medium Salsa, 1, 15401, 0.003543774625045819, 1.0
Sea Salt & Vinegar Potato Chips, 1, 15397, 0.0035428542238705586, 1.0
Organic Lowfat 1% Milk, 1, 15352, 0.0035324997106488806, 1.0
Super Spinach! Baby Spinach, Baby Bok Choy, Sweet Baby Kale, 1, 15326, 0.0035265171030096887, 1.0
Organic Rainbow Carrots, 1, 15294, 0.003519153893607607, 1.0
Original Pure Creamy Almond Milk, 1, 15276, 0.0035150120883189356, 1.0
Tilapia Filet, 1, 15250, 0.0035090294806797437, 1.0
Total 0% Nonfat Plain Greek Yogurt, 1, 15209, 0.003499595368633326, 1.0
Mild Salsa, 1, 15185, 0.0034940729615817647, 1.0
Total 2% All Natural Low Fat 2% Milkfat Greek Strained Yogurt, 1, 15152, 0.0034864796518858676, 1.0
Natural Chicken & Sage Breakfast Sausage, 1, 15131, 0.0034816475457157513, 1.0
Orange Sparkling Water, 1, 15090, 0.0034722134336693336, 1.0
Organic Bunch Beets, 1, 15074, 0.0034685318289682924, 1.0
Organic Iceberg Lettuce, 1, 15063, 0.003466000725736327, 1.0
Baby Cucumbers, 1, 15031, 0.0034586375163342445, 1.0
Berry Medley, 1, 14894, 0.003427113776081581, 1.0
Organic Large Brown Eggs, 1, 14874, 0.0034225117702052794, 1.0
Bing Cherries, 1, 14851, 0.003417219463447533, 1.0
Organic Cheese Frozen Pizza, 1, 14851, 0.003417219463447533, 1.0
Organic Brown Rice, 1, 14848, 0.0034165291625660875, 1.0
Skim Milk, 1, 14804, 0.003406404749638225, 1.0
Sugar Snap Peas, 1, 14777, 0.003400192041705218, 1.0
Chocolate Chip Cookies, 1, 14762, 0.003396740537297992, 1.0
1% Lowfat Milk, 1, 14692, 0.0033806335167309376, 1.0
Organic Large Grade A Brown Eggs, 1, 14650, 0.0033709693043907046, 1.0
Organic Green Leaf Lettuce, 1, 14614, 0.0033626856938133625, 1.0
Honeycrisp Apples, 1, 14550, 0.0033479592750091983, 1.0
Diced Tomatoes, 1, 14480, 0.0033318522544421437, 1.0
Organic Tortilla Chips, 1, 14413, 0.003316435534756534, 1.0
Seedless Small Watermelon, 1, 14397, 0.0033127539300554934, 1.0
Plain Greek Yogurt, 1, 14347, 0.00330124891536474, 1.0
Organic Red Delicious Apple, 1, 14334, 0.003298257611545144, 1.0
Natural Artesian Water, 1, 14281, 0.0032860622959729456, 1.0
Seedless Cucumbers, 1, 14264, 0.0032821505909780896, 1.0
Black Beans, 1, 14259, 0.0032810000895090144, 1.0
Baked Aged White Cheddar Rice and Corn Puffs, 1, 14237, 0.003275937883045083, 1.0
Gluten Free Whole Grain Bread, 1, 14207, 0.003269034874230631, 1.0
Organic Tomato Sauce, 1, 14181, 0.0032630522665914393, 1.0
Organic Plain Whole Milk Yogurt, 1, 14160, 0.003258220160421323, 1.0
Organic Extra Large Grade AA Brown Eggs, 1, 14149, 0.003255689057189357, 1.0
Organic Whole Grain Wheat English Muffins, 1, 14109, 0.0032464850454367545, 1.0
Uncured Slow Cooked Ham, 1, 14079, 0.0032395820366223024, 1.0
Organic Whole Milk with DHA Omega-3, 1, 14051, 0.003233139228395481, 1.0
Flat Parsley, Bunch, 1, 14036, 0.003229687723988255, 1.0
Organic Spaghetti Squash, 1, 14022, 0.003226466319874844, 1.0
Goat Cheese Crumbles, 1, 14018, 0.0032255459186995837, 1.0
2% Reduced Fat DHA Omega-3 Reduced Fat Milk, 1, 13972, 0.003214961305184091, 1.0
Packaged Grape Tomatoes, 1, 13965, 0.003213350603127385, 1.0
Chocolate Ice Cream, 1, 13908, 0.003200234886379926, 1.0
Light Brown Sugar, 1, 13853, 0.003187579370220098, 1.0
Organic Bunny Fruit Snacks Berry Patch, 1, 13847, 0.0031861987684572075, 1.0
Organic Extra Virgin Olive Oil, 1, 13836, 0.003183667665225242, 1.0
English Seedless Cucumber, 1, 13807, 0.003176994756704605, 1.0
Organic Original Hommus, 1, 13756, 0.0031652596417200366, 1.0
Celery Hearts, 1, 13725, 0.0031581265326117696, 1.0
Tomato Ketchup, 1, 13664, 0.0031440904146890505, 1.0
0% Greek Strained Yogurt, 1, 13651, 0.0031410991108694547, 1.0
Sea Salt Potato Chips, 1, 13597, 0.0031286736950034413, 1.0
Organic Cripps Pink Apples, 1, 13564, 0.003121080385307544, 1.0
Organic Blue Corn Tortilla Chips, 1, 13513, 0.0031093452703229757, 1.0
