Premises, Premises Frequency, Conclusion, Conclusion Frequency, Premise and Conclusion Frequency, Support, Confidence, Laplace, Gain, Ps, Lift, Conviction
Banana, 527515.0, Organic Strawberries, Large Lemon, 17322.0, 5821.0, 0.0013394138102974943, 0.011034757305479466, 0.8929517224567585, -0.2414232991734107, 8.556123286007308E-4, 2.7685194464472738, 1.0071276114788519
Banana, 527515.0, Mango Chunks, 18445.0, 5865.0, 0.0013495382232253572, 0.011118167255907415, 0.8929607509757982, -0.24141317476048285, 8.343714797836761E-4, 2.6196144071907272, 1.0069512525246962
Banana, 527515.0, Watermelon Chunks, 25388.0, 5876.0, 0.001352069326457323, 0.011139019743514403, 0.8929630081055581, -0.2414106436572509, 6.429853859586836E-4, 1.906783173662805, 1.0053569041451746
Banana, 527515.0, Sparkling Natural Mineral Water, 44737.0, 5908.0, 0.001359432535859405, 0.011199681525643821, 0.8929695743012234, -0.2414032804478488, 1.0993323516271265E-4, 1.087981830082991, 1.0009159429505814
Banana, 527515.0, YoKids Squeezers Organic Low-Fat Yogurt, Strawberry, 20344.0, 5923.0, 0.001362884040266631, 0.011228116736016985, 0.8929726522054414, -0.24139982894344159, 7.946784437050932E-4, 2.3985755306073058, 1.0066213011003422
Banana, 527515.0, Large Grapefruit, 22296.0, 5966.0, 0.0013727783529006788, 0.011309631005753391, 0.8929814755308666, -0.24138993463080755, 7.500536192722849E-4, 2.204470577075029, 1.006250000049195
Banana, 527515.0, Total 2% Lowfat Greek Strained Yogurt with Peach, 20552.0, 6021.0, 0.0013854338690605073, 0.011413893443788329, 0.8929927611796661, -0.2413772791146477, 8.114188562541407E-4, 2.4135847288855805, 1.0067620535641435
Banana, 527515.0, Original Orange Juice, 25972.0, 6064.0, 0.0013953281816945552, 0.011495407713524733, 0.8930015845050914, -0.24136738480201367, 6.699331878931269E-4, 1.92354261280788, 1.0055834266483208
Banana, 527515.0, Pineapple Chunks, 26027.0, 6097.0, 0.0014029214913904523, 0.011557965176345697, 0.8930083558943711, -0.24135979149231776, 6.759903538704395E-4, 1.9299235085411777, 1.0056342654733563
Banana, 527515.0, Organic Large Brown Grade AA Cage Free Eggs, 33242.0, 6131.0, 0.0014107449013801645, 0.011622418319858203, 0.8930153324772656, -0.24135196808232806, 4.822996378676481E-4, 1.5194701904590482, 1.0040201481969102
Banana, 527515.0, Organic Baby Spinach, Cucumber Kirby, 16161.0, 6218.0, 0.0014307636269420753, 0.011787342540022559, 0.8930331843217304, -0.24133194935676613, 9.793887426503426E-4, 3.1697900719202265, 1.0081649345722978
Banana, 527515.0, Organic Baby Spinach, Organic Hass Avocado, 36153.0, 6222.0, 0.0014316840281173354, 0.011794925262788736, 0.8930340050961886, -0.2413310289555909, 4.2193486706300636E-4, 1.4178610721720664, 1.0035175991596856
Banana, 527515.0, Total Greek Strained Yogurt, 27394.0, 6230.0, 0.001433524830467856, 0.01181009070832109, 0.8930356466451047, -0.24132918815324036, 6.684135390695684E-4, 1.8736160955721903, 1.0055725354081972
Banana, 527515.0, Pure Sparkling Water, 30009.0, 6242.0, 0.0014362860339936368, 0.011832838876619622, 0.8930381089684792, -0.24132642694971457, 5.981380912481009E-4, 1.7136426169451295, 1.0049867667671948
Banana, 527515.0, Asparation/Broccolini/Baby Broccoli, 17168.0, 6291.0, 0.001447560948390575, 0.011925727230505294, 0.8930481634555917, -0.24131515203531764, 9.680606691058484E-4, 3.018894901479328, 1.008071625388984
Banana, 527515.0, Organic Baby Spinach, Limes, 21715.0, 6357.0, 0.0014627475677823692, 0.01205084215614722, 0.8930617062341513, -0.24129996541592585, 8.56250097799387E-4, 2.4117950035692854, 1.0071402604273165
Banana, 527515.0, Total 2% Lowfat Greek Strained Yogurt With Blueberry, 21405.0, 6364.0, 0.0014643582698390747, 0.01206411192098803, 0.893063142589453, -0.24129835471386915, 8.665190644517511E-4, 2.4494182660542596, 1.0072259902874443
Banana, 527515.0, Shredded Mild Cheddar Cheese, 27813.0, 6375.0, 0.0014668893730710405, 0.012084964408595016, 0.8930653997192128, -0.24129582361063717, 6.900754595257177E-4, 1.8883407563804604, 1.0057547306518249
Banana, 527515.0, Large Alfresco Eggs, 42274.0, 6413.0, 0.001475633184236013, 0.0121570002748737, 0.8930731970765655, -0.2412870797994722, 2.9492519224611716E-4, 1.24978673325406, 1.002459642326576
Banana, 527515.0, Cantaloupe, 25115.0, 6463.0, 0.0014871381989267662, 0.012251784309450916, 0.8930834567572924, -0.24127557478478145, 7.856791172494648E-4, 2.1200640746866943, 1.0065531026302692
Banana, 527515.0, Organic Garbanzo Beans, 31196.0, 6476.0, 0.001490129502746362, 0.012276428158440992, 0.8930861242742814, -0.24127258348096187, 6.188287855651918E-4, 1.7102355976100019, 1.0051615852227571
Banana, 527515.0, Ground Turkey Breast, 27679.0, 6518.0, 0.0014997937150865949, 0.012356046747485853, 0.8930947424060921, -0.24126291926862162, 7.2672240623746E-4, 1.9400457602278964, 1.0060620031087741
Banana, 527515.0, Organic Broccoli, 40373.0, 6539.0, 0.0015046258212567112, 0.012395856042008284, 0.8930990514719974, -0.2412580871624515, 3.770125421582566E-4, 1.3343456033611845, 1.0031450018702481
Banana, 527515.0, Green Onions, 27981.0, 6685.0, 0.0015382204641537108, 0.012672625422973755, 0.89312900973972, -0.2412244925195545, 7.567143297952569E-4, 1.9682768906432848, 1.0063142066778055
Bag of Organic Bananas, 394930.0, Lightly Salted Baked Snap Pea Crisps, 25941.0, 5031.0, 0.0011576345781835929, 0.012738966399108704, 0.9177577659416718, -0.18058938349458378, 6.152077200689957E-4, 2.1341763610440956, 1.0068572894572367
Banana, 527515.0, Organic Strawberries, Organic Raspberries, 35533.0, 6725.0, 0.0015474244759063132, 0.012748452650635527, 0.8931372174843016, -0.2412152885078019, 5.549918440433011E-4, 1.559223695618977, 1.004631341346368
Bag of Organic Bananas, 394930.0, Organic Unsalted Butter, 22252.0, 5045.0, 0.0011608559822970039, 0.012774415719241384, 0.9177607189917613, -0.18058616209047038, 6.955661921283127E-4, 2.494909638735324, 1.007753267442765
Banana, 527515.0, Organic Fat Free Milk, 27402.0, 6754.0, 0.00155409738442695, 0.012803427390690313, 0.8931431680991233, -0.24120861559928128, 7.887626539423229E-4, 2.0306113423637013, 1.0065824976705442
Banana, 527515.0, Organic Whole Strawberries, 32658.0, 6757.0, 0.0015547876853083953, 0.012809114432764945, 0.8931437836799668, -0.24120792529839982, 6.426534750986677E-4, 1.7045602148294627, 1.0053631968393937
Banana, 527515.0, Organic Avocado, Cucumber Kirby, 15973.0, 6760.0, 0.0015554779861898405, 0.012814801474839578, 0.8931443992608105, -0.24120723499751837, 0.0011093539204270878, 3.4866489068021687, 1.0092580495487429
Bag of Organic Bananas, 394930.0, Total 2% with Strawberry Lowfat Greek Strained Yogurt, 30866.0, 5087.0, 0.0011705201946372364, 0.01288076367963943, 0.9177695781420295, -0.18057649787813015, 5.251114824609457E-4, 1.8136107749309618, 1.0058538905920664
Bag of Organic Bananas, 394930.0, Organic White Onions, 24491.0, 5114.0, 0.0011767329025702434, 0.012949130225609602, 0.917775273310059, -0.18057028517019713, 6.646255750930991E-4, 2.2978247711613964, 1.0074096930094967
Bag of Organic Bananas, 394930.0, Boneless Skinless Chicken Breasts, 52369.0, 5124.0, 0.0011790339055083939, 0.012974451168561517, 0.9177773826315516, -0.180567984167259, 8.399700898924114E-5, 1.0767070125730436, 1.0009364791852193
Banana, 527515.0, Organic Romaine Lettuce, 36028.0, 6853.0, 0.0015768773135146417, 0.0129910997791532, 0.8931634822669626, -0.24118583567019358, 5.706193881843686E-4, 1.5670707020738048, 1.0047629219883754
Bag of Organic Bananas, 394930.0, Feta Cheese Crumbles, 33800.0, 5131.0, 0.0011806446075650994, 0.012992175828627859, 0.9177788591565962, -0.1805663734652023, 4.738858933955074E-4, 1.6705059080202513, 1.005283429138018
Bag of Organic Bananas, 394930.0, Orange Bell Pepper, 41052.0, 5145.0, 0.0011838660116785104, 0.01302762514876054, 0.9177818122066856, -0.1805631520610889, 3.2546782427939525E-4, 1.379157166286126, 1.0036288228306331
Bag of Organic Bananas, 394930.0, Organic Baby Spinach, Organic Garlic, 21818.0, 5153.0, 0.0011857068140290307, 0.013047881903122073, 0.9177834996638796, -0.18056131125873837, 7.294919730304462E-4, 2.5990097372406824, 1.0081336810018142
Bag of Organic Bananas, 394930.0, Jalapeno Peppers, 44460.0, 5177.0, 0.0011912292210805924, 0.01310865216620667, 0.9177885620354614, -0.1805557888516868, 2.615696816728984E-4, 1.2813607246364085, 1.0029166261407672
Banana, 527515.0, Organic Strawberries, Organic Whole Milk, 24767.0, 6923.0, 0.001592984334081696, 0.013123797427561302, 0.8931778458199802, -0.24116972864962652, 9.012448526601662E-4, 2.3028674477392865, 1.0075236422068843
Bag of Organic Bananas, 394930.0, Organic Sour Cream, 27738.0, 5196.0, 0.0011956011266630786, 0.01315676195781531, 0.9177925697462972, -0.1805514169461043, 6.15598960579169E-4, 2.061373554405157, 1.0068645553283746
Bag of Organic Bananas, 394930.0, Organic Baby Spinach, Organic Avocado, 32291.0, 5206.0, 0.0011979021296012293, 0.013182082900767224, 0.9177946790677894, -0.18054911594316617, 5.226966373157177E-4, 1.7741297179713915, 1.005828749370596
Banana, 527515.0, Organic Navel Orange, 44701.0, 6958.0, 0.0016010378443652234, 0.013190146251765353, 0.8931850275964891, -0.241161675139343, 3.525440195570591E-4, 1.2823754611771738, 1.0029432549816018
Banana, 527515.0, Sparkling Lemon Water, 34211.0, 6991.0, 0.0016086311540611205, 0.013252703714586315, 0.8931917989857688, -0.2411540818296471, 6.531218312157232E-4, 1.683532662214955, 1.0054530096845817
Banana, 527515.0, Total 2% All Natural Greek Strained Yogurt with Honey, 23844.0, 7005.0, 0.0016118525581745315, 0.013279243244267935, 0.8931946716963725, -0.2411508604255337, 9.458923613394301E-4, 2.420343686957079, 1.0078976060706004
Banana, 527515.0, Yellow Bell Pepper, 26625.0, 7019.0, 0.0016150739622879425, 0.013305782773949556, 0.8931975444069761, -0.24114763902142028, 8.714407530640466E-4, 2.171869064284446, 1.0072761776909032
Bag of Organic Bananas, 394930.0, Organic Coconut Milk, 28300.0, 5289.0, 0.0012170004539878796, 0.013392246727268124, 0.917812186436177, -0.18053001761877951, 6.25246856029316E-4, 2.0566000074799677, 1.006973803306814
Banana, 527515.0, Organic Strawberries, Organic Hass Avocado, 42333.0, 7094.0, 0.0016323314843240723, 0.013447958825815379, 0.8932129339280664, -0.24113038149938415, 4.499756290724218E-4, 1.380575464716289, 1.0037576558894248
Bag of Organic Bananas, 394930.0, Organic Large Green Asparagus, 20016.0, 5329.0, 0.0012262044657404823, 0.013493530499075786, 0.9178206237221467, -0.1805208136070269, 8.076694828168564E-4, 2.9297538217115773, 1.0090094117908521
Bag of Organic Bananas, 394930.0, Organic Red Radish, Bunch, 28267.0, 5333.0, 0.0012271248669157425, 0.013503658876256552, 0.9178214674507437, -0.18051989320585166, 6.360612996544451E-4, 2.0761301066172044, 1.007095225374088
Bag of Organic Bananas, 394930.0, Organic Strawberries, Organic Zucchini, 16071.0, 5352.0, 0.001231496772498229, 0.01355176866786519, 0.9178254751615793, -0.18051552130026915, 8.954518229296043E-4, 3.6646787106280905, 1.0099891981484486
Bag of Organic Bananas, 394930.0, Organic Green Seedless Grapes, 22335.0, 5357.0, 0.001232647273967304, 0.013564429139341149, 0.9178265298223255, -0.1805143707988001, 7.656219520448828E-4, 2.639358544614552, 1.008540992768165
Banana, 527515.0, Fat Free Milk, 30565.0, 7167.0, 0.001649128805772572, 0.013586343516298114, 0.8932279130619277, -0.24111358417793566, 7.954518465264356E-4, 1.9317949113079989, 1.0066435901335768
Banana, 527515.0, Sharp Cheddar Cheese, 31432.0, 7199.0, 0.0016564920151746541, 0.013647005298427533, 0.893234479257593, -0.24110622096853357, 7.785998449464664E-4, 1.8868969007253902, 1.0065032426501357
Bag of Organic Bananas, 394930.0, Organic Hass Avocado, Organic Whole Milk, 15253.0, 5398.0, 0.0012420813860137218, 0.013668245005444002, 0.9178351780404445, -0.18050493668675366, 9.231408337288464E-4, 3.8943978027112216, 1.0102992985599848
Bag of Organic Bananas, 394930.0, Organic Bread with 21 Whole Grains, 23944.0, 5410.0, 0.0012448425895395026, 0.0136986301369863, 0.9178377092262355, -0.1805021754832279, 7.441730436200734E-4, 2.4863557204252844, 1.0083028463227377
Bag of Organic Bananas, 394930.0, Organic Baby Spinach, Organic Cucumber, 16746.0, 5425.0, 0.0012482940939467285, 0.013736611551414174, 0.9178408732084741, -0.18049872397882066, 8.981348801158413E-4, 3.564932878075299, 1.0100210067076847
Bag of Organic Bananas, 394930.0, Organic Broccoli Crowns, 19145.0, 5430.0, 0.0012494445954158038, 0.013749272022890132, 0.9178419278692205, -0.18049757347735157, 8.491222408957791E-4, 3.121096239838649, 1.009474266160458
Banana, 527515.0, Organic Black Beans, 39577.0, 7272.0, 0.001673289336623154, 0.013785389988910268, 0.8932494583914543, -0.24108942364708508, 5.679082466154869E-4, 1.513766927758415, 1.0047441100680294
Banana, 527515.0, Total 0% Nonfat Greek Yogurt, 27871.0, 7421.0, 0.0017075742804015985, 0.014067846411950372, 0.8932800322400206, -0.2410551387033066, 9.291404334803139E-4, 2.1936023043641737, 1.0077639430818575
Bag of Organic Bananas, 394930.0, Organic Strawberries, Organic Yellow Onion, 17322.0, 5559.0, 0.0012791275333179472, 0.014075912186969844, 0.917869138116473, -0.18046789053944945, 9.169241473165959E-4, 3.5315173263266386, 1.0102341701782407
Bag of Organic Bananas, 394930.0, Organic Frozen Peas, 20981.0, 5566.0, 0.0012807382353746527, 0.014093636847036184, 0.9178706146415175, -0.18046627983739275, 8.420250820612738E-4, 2.9193066715731764, 1.0093983596503724
Bag of Organic Bananas, 394930.0, Cantaloupe, 25115.0, 5603.0, 0.0012892519462458102, 0.014187324335958271, 0.9178784191310396, -0.18045776612652156, 7.640967655839965E-4, 2.4549923407802297, 1.008529364314705
Banana, 527515.0, Honey Nut Cheerios, 27959.0, 7485.0, 0.001722300699205763, 0.014189169976209207, 0.8932931646313511, -0.24104041228450246, 9.414090223347428E-4, 2.2055564814148165, 1.0078674281365387
Bag of Organic Bananas, 394930.0, Italian Sparkling Mineral Water, 32069.0, 5634.0, 0.0012963850553540772, 0.014265819259109209, 0.9178849580276662, -0.18045063301741332, 6.258215877592652E-4, 1.9332771885172517, 1.0069863996514534
Bag of Organic Bananas, 394930.0, Organic Baby Spinach, Organic Zucchini, 21365.0, 5638.0, 0.0012973054565293375, 0.014275947636289976, 0.9178858017562632, -0.18044971261623804, 8.505628551023158E-4, 2.903921525248272, 1.0094954108469674
Bag of Organic Bananas, 394930.0, Organic Bell Pepper, 24331.0, 5661.0, 0.0013025977632870839, 0.014334185805079381, 0.9178906531956958, -0.1804444203094803, 7.938360391906241E-4, 2.56032972134538, 1.0088626544924866
Banana, 527515.0, Organic Extra Firm Tofu, 30310.0, 7597.0, 0.00174807193211305, 0.014401486213662171, 0.8933161463161794, -0.24101464105159517, 9.015170937439876E-4, 2.064924624943156, 1.0075356711726309
Bag of Organic Bananas, 394930.0, 100% Recycled Paper Towels, 29047.0, 5696.0, 0.0013106512735706112, 0.014422809105411086, 0.9178980358209194, -0.18043636679919678, 7.032778898284769E-4, 2.1579004096219334, 1.0078523386523792
Banana, 527515.0, Organic Baby Spinach, Large Lemon, 24046.0, 7612.0, 0.0017515234365202761, 0.014429921424035335, 0.8933192242203974, -0.24101118954718795, 0.0010799214027551005, 2.607978160370927, 1.0090271914218554
Banana, 527515.0, Organic Avocado, Limes, 23047.0, 7621.0, 0.0017535943391646116, 0.014446982550259235, 0.8933210709629285, -0.2410091186445436, 0.0011098942613060902, 2.724241303494193, 1.0092778987196087
Bag of Organic Bananas, 394930.0, Organic Strawberries, Apple Honeycrisp Organic, 16353.0, 5711.0, 0.0013141027779778373, 0.01446079051983896, 0.9179011998031582, -0.18043291529478955, 9.721612024507563E-4, 3.843062300781156, 1.0108549313027577
Bag of Organic Bananas, 394930.0, Organic Garbanzo Beans, 31196.0, 5715.0, 0.0013150231791530975, 0.014470918897019725, 0.917902043531755, -0.18043199489361428, 6.627141600041451E-4, 2.0159512448084316, 1.0073997919198925
Bag of Organic Bananas, 394930.0, Organic Hothouse Cucumbers, 24818.0, 5730.0, 0.0013184746835603234, 0.014508900311447599, 0.9179052075139938, -0.18042854338920705, 7.995297791739053E-4, 2.5406833604412027, 1.0089278038353933
Bag of Organic Bananas, 394930.0, Organic Yellow Onion, Organic Garlic, 22923.0, 5735.0, 0.0013196251850293988, 0.014521560782923557, 0.9179062621747399, -0.180427392887738, 8.403047706829622E-4, 2.7531170080221505, 1.0093832309057387
Bag of Organic Bananas, 394930.0, Organic Strawberries, Organic Lemon, 15829.0, 5740.0, 0.0013207756864984741, 0.014534221254399514, 0.9179073168354863, -0.18042624238626892, 9.897909620431348E-4, 3.9904430292724578, 1.0110526047058328
Bag of Organic Bananas, 394930.0, Organic Baby Spinach, Organic Yellow Onion, 20455.0, 5741.0, 0.0013210057867922892, 0.014536753348694705, 0.9179075277676354, -0.1804260122859751, 8.932913045929104E-4, 3.0885224647981486, 1.0099750567787393
Bag of Organic Bananas, 394930.0, Organic Strawberries, Organic Large Extra Fancy Fuji Apple, 15763.0, 5791.0, 0.0013325108014830423, 0.014663358063454283, 0.9179180743750976, -0.18041450727128433, 0.0010029061384222353, 4.042754702281668, 1.0112005244322966
Banana, 527515.0, Total 0% Greek Yogurt, 27200.0, 7746.0, 0.0017823568758914949, 0.014683942636702274, 0.8933467201647457, -0.24098035610781673, 0.0010226639823369419, 2.3461544671715497, 1.008550773715673
Banana, 527515.0, Organic Lacinato (Dinosaur) Kale, 44828.0, 7869.0, 0.0018106592120307478, 0.014917111361762225, 0.8933719589793341, -0.24095205377167747, 5.586182917269428E-4, 1.446166161718896, 1.0046718661380694
Banana, 527515.0, Organic Sticks Low Moisture Part Skim Mozzarella String Cheese, 35551.0, 7879.0, 0.0018129602149688985, 0.014936068168677668, 0.8933740109154793, -0.2409497527687393, 8.200248451616225E-4, 1.8258592352499088, 1.006858207274627
Bag of Organic Bananas, 394930.0, Milk, Organic, Vitamin D, 20770.0, 5911.0, 0.0013601228367408503, 0.01496720937887727, 0.917943386233007, -0.18038689523602652, 9.25821697885749E-4, 3.131750564427225, 1.0103428295721142
Bag of Organic Bananas, 394930.0, Organic Spring Mix, 33130.0, 5931.0, 0.0013647248426171515, 0.0150178512647811, 0.9179476048759919, -0.18038229323015023, 6.719758426041758E-4, 1.9700134429520493, 1.007507373143953
Banana, 527515.0, Whipped Cream Cheese, 32270.0, 7965.0, 0.001832748840236994, 0.015099096708150479, 0.8933916575663298, -0.24092996414347123, 9.314514257147358E-4, 2.0334562273303103, 1.0077914033798632
Bag of Organic Bananas, 394930.0, Organic Hass Avocado, Limes, 20816.0, 5964.0, 0.0013723181523130487, 0.015101410376522422, 0.917954565636917, -0.18037469992045432, 9.370551524860006E-4, 3.1528481696315556, 1.010469750661751
Banana, 527515.0, Russet Potato, 30731.0, 8028.0, 0.0018472451587473431, 0.015218524591717771, 0.8934045847640456, -0.24091546782496087, 9.889318384596606E-4, 2.1521804626406107, 1.0082732186438714
Banana, 527515.0, Organic Bartlett Pear, 38686.0, 8045.0, 0.0018511568637421994, 0.015250751163474024, 0.893408073055493, -0.240911556119966, 7.706613019756025E-4, 1.7132480032732211, 1.006447419182544
Bag of Organic Bananas, 394930.0, Organic Hass Avocado, Organic Large Extra Fancy Fuji Apple, 13849.0, 6044.0, 0.001390726175818254, 0.015303977920137745, 0.9179714402088565, -0.18035629189694913, 0.0011011432931988848, 4.802515132243639, 1.0123056442591276
Bag of Organic Bananas, 394930.0, Organic Strawberries, Organic Cucumber, 17587.0, 6046.0, 0.001391186376405884, 0.015309042108728129, 0.917971862073155, -0.1803558316963615, 0.0010234418348052743, 3.783023863116333, 1.0114373633180513
